sample_prop,sample
0.9,231
0.9,232
0.9,233
0.9,234
0.9,235
0.9,236
0.9,237
0.9,238
0.9,239
0.9,240
1,241
1,242
1,243
1,244
1,245
1,246
1,247
1,248
1,249
1,250
<<<<<<< HEAD
0.01,251
0.01,252
0.01,253
0.01,254
0.01,255
0.01,256
0.01,257
0.01,258
0.01,259
0.01,260
0.01,261
0.01,262
0.01,263
0.01,264
0.01,265
0.01,266
0.01,267
0.01,268
0.01,269
0.01,270
0.01,271
0.01,272
0.01,273
0.01,274
0.01,275
0.01,276
0.01,277
0.01,278
0.01,279
0.01,280
0.01,281
0.01,282
0.01,283
0.01,284
0.01,285
0.01,286
0.01,287
0.01,288
0.01,289
0.01,290
0.01,291
0.01,292
0.01,293
0.01,294
0.01,295
0.01,296
0.01,297
0.01,298
0.01,299
0.01,300
0.01,301
0.01,302
0.01,303
0.01,304
0.01,305
0.01,306
0.01,307
0.01,308
0.01,309
0.01,310
0.01,311
0.01,312
0.01,313
0.01,314
0.01,315
0.01,316
0.01,317
0.01,318
0.01,319
0.01,320
0.01,321
0.01,322
0.01,323
0.01,324
0.01,325
0.01,326
0.01,327
0.01,328
0.01,329
0.01,330
0.01,331
0.01,332
0.01,333
0.01,334
0.01,335
0.01,336
0.01,337
0.01,338
0.01,339
0.01,340
0.01,341
0.01,342
0.01,343
0.01,344
0.01,345
0.01,346
0.01,347
0.01,348
0.01,349
0.01,350
0.05,351
0.05,352
0.05,353
0.05,354
0.05,355
0.05,356
0.05,357
0.05,358
0.05,359
0.05,360
0.05,361
0.05,362
0.05,363
0.05,364
0.05,365
0.05,366
0.05,367
0.05,368
0.05,369
0.05,370
0.05,371
0.05,372
0.05,373
0.05,374
0.05,375
0.05,376
0.05,377
0.05,378
0.05,379
0.05,380
0.05,381
0.05,382
0.05,383
0.05,384
0.05,385
0.05,386
0.05,387
0.05,388
0.05,389
0.05,390
0.05,391
0.05,392
0.05,393
0.05,394
0.05,395
0.05,396
0.05,397
0.05,398
0.05,399
0.05,400
0.05,401
0.05,402
0.05,403
0.05,404
0.05,405
0.05,406
0.05,407
0.05,408
0.05,409
0.05,410
0.05,411
0.05,412
0.05,413
0.05,414
0.05,415
0.05,416
0.05,417
0.05,418
0.05,419
0.05,420
0.05,421
0.05,422
0.05,423
0.05,424
0.05,425
0.05,426
0.05,427
0.05,428
0.05,429
0.05,430
0.05,431
0.05,432
0.05,433
0.05,434
0.05,435
0.05,436
0.05,437
0.05,438
0.05,439
0.05,440
0.05,441
0.05,442
0.05,443
0.05,444
0.05,445
0.05,446
0.05,447
0.05,448
0.05,449
0.05,450
0.1,451
0.1,452
0.1,453
0.1,454
0.1,455
0.1,456
0.1,457
0.1,458
0.1,459
0.1,460
0.1,461
0.1,462
0.1,463
0.1,464
0.1,465
0.1,466
0.1,467
0.1,468
0.1,469
0.1,470
0.1,471
0.1,472
0.1,473
0.1,474
0.1,475
0.1,476
0.1,477
0.1,478
0.1,479
0.1,480
0.1,481
0.1,482
0.1,483
0.1,484
0.1,485
0.1,486
0.1,487
0.1,488
0.1,489
0.1,490
0.1,491
0.1,492
0.1,493
0.1,494
0.1,495
0.1,496
0.1,497
0.1,498
0.1,499
0.1,500
0.1,501
0.1,502
0.1,503
0.1,504
0.1,505
0.1,506
0.1,507
0.1,508
0.1,509
0.1,510
0.1,511
0.1,512
0.1,513
0.1,514
0.1,515
0.1,516
0.1,517
0.1,518
0.1,519
0.1,520
0.1,521
0.1,522
0.1,523
0.1,524
0.1,525
0.1,526
0.1,527
0.1,528
0.1,529
0.1,530
0.1,531
0.1,532
0.1,533
0.1,534
0.1,535
0.1,536
0.1,537
0.1,538
0.1,539
0.1,540
0.1,541
0.1,542
0.1,543
0.1,544
0.1,545
0.1,546
0.1,547
0.1,548
0.1,549
0.1,550
0.2,551
0.2,552
0.2,553
0.2,554
0.2,555
0.2,556
0.2,557
0.2,558
0.2,559
0.2,560
0.2,561
0.2,562
0.2,563
0.2,564
0.2,565
0.2,566
0.2,567
0.2,568
0.2,569
0.2,570
0.2,571
0.2,572
0.2,573
0.2,574
0.2,575
0.2,576
0.2,577
0.2,578
0.2,579
0.2,580
0.2,581
0.2,582
0.2,583
0.2,584
0.2,585
0.2,586
0.2,587
0.2,588
0.2,589
0.2,590
0.2,591
0.2,592
0.2,593
0.2,594
0.2,595
0.2,596
0.2,597
0.2,598
0.2,599
0.2,600
0.2,601
0.2,602
0.2,603
0.2,604
0.2,605
0.2,606
0.2,607
0.2,608
0.2,609
0.2,610
0.2,611
0.2,612
0.2,613
0.2,614
0.2,615
0.2,616
0.2,617
0.2,618
0.2,619
0.2,620
0.2,621
0.2,622
0.2,623
0.2,624
0.2,625
0.2,626
0.2,627
0.2,628
0.2,629
0.2,630
0.2,631
0.2,632
0.2,633
0.2,634
0.2,635
0.2,636
0.2,637
0.2,638
0.2,639
0.2,640
0.2,641
0.2,642
0.2,643
0.2,644
0.2,645
0.2,646
0.2,647
0.2,648
0.2,649
0.2,650
0.3,651
0.3,652
0.3,653
0.3,654
0.3,655
0.3,656
0.3,657
0.3,658
0.3,659
0.3,660
0.3,661
0.3,662
0.3,663
0.3,664
0.3,665
0.3,666
0.3,667
0.3,668
0.3,669
0.3,670
0.3,671
0.3,672
0.3,673
0.3,674
0.3,675
0.3,676
0.3,677
0.3,678
0.3,679
0.3,680
0.3,681
0.3,682
0.3,683
0.3,684
0.3,685
0.3,686
0.3,687
0.3,688
0.3,689
0.3,690
0.3,691
0.3,692
0.3,693
0.3,694
0.3,695
0.3,696
0.3,697
0.3,698
0.3,699
0.3,700
0.3,701
0.3,702
0.3,703
0.3,704
0.3,705
0.3,706
0.3,707
0.3,708
0.3,709
0.3,710
0.3,711
0.3,712
0.3,713
0.3,714
0.3,715
0.3,716
0.3,717
0.3,718
0.3,719
0.3,720
0.3,721
0.3,722
0.3,723
0.3,724
0.3,725
0.3,726
0.3,727
0.3,728
0.3,729
0.3,730
0.3,731
0.3,732
0.3,733
0.3,734
0.3,735
0.3,736
0.3,737
0.3,738
0.3,739
0.3,740
0.3,741
0.3,742
0.3,743
0.3,744
0.3,745
0.3,746
0.3,747
0.3,748
0.3,749
0.3,750
0.5,751
0.5,752
0.5,753
0.5,754
0.5,755
0.5,756
0.5,757
0.5,758
0.5,759
0.5,760
0.5,761
0.5,762
0.5,763
0.5,764
0.5,765
0.5,766
0.5,767
0.5,768
0.5,769
0.5,770
0.5,771
0.5,772
0.5,773
0.5,774
0.5,775
0.5,776
0.5,777
0.5,778
0.5,779
0.5,780
0.5,781
0.5,782
0.5,783
0.5,784
0.5,785
0.5,786
0.5,787
0.5,788
0.5,789
0.5,790
0.5,791
0.5,792
0.5,793
0.5,794
0.5,795
0.5,796
0.5,797
0.5,798
0.5,799
0.5,800
0.5,801
0.5,802
0.5,803
0.5,804
0.5,805
0.5,806
0.5,807
0.5,808
0.5,809
0.5,810
0.5,811
0.5,812
0.5,813
0.5,814
0.5,815
0.5,816
0.5,817
0.5,818
0.5,819
0.5,820
0.5,821
0.5,822
0.5,823
0.5,824
0.5,825
0.5,826
0.5,827
0.5,828
0.5,829
0.5,830
0.5,831
0.5,832
0.5,833
0.5,834
0.5,835
0.5,836
0.5,837
0.5,838
0.5,839
0.5,840
0.5,841
0.5,842
0.5,843
0.5,844
0.5,845
0.5,846
0.5,847
0.5,848
0.5,849
0.5,850
0.7,851
0.7,852
0.7,853
0.7,854
0.7,855
0.7,856
0.7,857
0.7,858
0.7,859
0.7,860
0.7,861
0.7,862
0.7,863
0.7,864
0.7,865
0.7,866
0.7,867
0.7,868
0.7,869
0.7,870
0.7,871
0.7,872
0.7,873
0.7,874
0.7,875
0.7,876
0.7,877
0.7,878
0.7,879
0.7,880
0.7,881
0.7,882
0.7,883
0.7,884
0.7,885
0.7,886
0.7,887
0.7,888
0.7,889
0.7,890
0.7,891
0.7,892
0.7,893
0.7,894
0.7,895
0.7,896
0.7,897
0.7,898
0.7,899
0.7,900
0.7,901
0.7,902
0.7,903
0.7,904
0.7,905
0.7,906
0.7,907
0.7,908
0.7,909
0.7,910
0.7,911
0.7,912
0.7,913
0.7,914
0.7,915
0.7,916
0.7,917
0.7,918
0.7,919
0.7,920
0.7,921
0.7,922
0.7,923
0.7,924
0.7,925
0.7,926
0.7,927
0.7,928
0.7,929
0.7,930
0.7,931
0.7,932
0.7,933
0.7,934
0.7,935
0.7,936
0.7,937
0.7,938
0.7,939
0.7,940
0.7,941
0.7,942
0.7,943
0.7,944
0.7,945
0.7,946
0.7,947
0.7,948
0.7,949
0.7,950
1,951
1,952
1,953
1,954
1,955
1,956
1,957
1,958
1,959
1,960
1,961
1,962
1,963
1,964
1,965
1,966
1,967
1,968
1,969
1,970
1,971
1,972
1,973
1,974
1,975
1,976
1,977
1,978
1,979
1,980
1,981
1,982
1,983
1,984
1,985
1,986
1,987
1,988
1,989
1,990
1,991
1,992
1,993
1,994
1,995
1,996
1,997
1,998
1,999
1,1000
1,1001
1,1002
1,1003
1,1004
1,1005
1,1006
1,1007
1,1008
1,1009
1,1010
1,1011
1,1012
1,1013
1,1014
1,1015
1,1016
1,1017
1,1018
1,1019
1,1020
1,1021
1,1022
1,1023
1,1024
1,1025
1,1026
1,1027
1,1028
1,1029
1,1030
1,1031
1,1032
1,1033
1,1034
1,1035
1,1036
1,1037
1,1038
1,1039
1,1040
1,1041
1,1042
1,1043
1,1044
1,1045
1,1046
1,1047
1,1048
1,1049
1,1050
=======
>>>>>>> ed71375665d20edaeb336791e65415055479a818
